name,name.abbrev,verbal
north dakota,nd,594
iowa,iowa,594
minnesota,minn,586
wisconsin,wis,584
south dakota,sd,585
illinois,ill,569
kansas,kan,578
missouri,mo,572
nebraska,neb,568
utah,utah,570
michigan,mich,557
oklahoma,okla,567
louisiana,la,561
arkansas,ark,563
alabama,ala,561
tennessee,tenn,559
wyoming,wyo,546
mississippi,miss,563
kentucky,ky,547
montana,mont,545
new mexico,nm,549
idaho,idaho,542
colorado,colo,536
ohio,ohio,534
washington,wash,525
oregon,ore,525
arizona,ariz,524
new hampshire,nh,520
nevada,nev,512
california,calif,497
west virginia,wva,527
massachusetts,mass,511
new jersey,nj,498
connecticut,conn,510
maryland,md,507
vermont,vt,514
maine,maine,507
new york,ny,495
virginia,va,508
rhode island,ri,504
texas,texas,494
florida,fla,499
indiana,ind,496
delaware,dela,503
pennsylvania,pa,498
north carolina,nc,493
georgia,ga,487
district of columbia,d.c.,494
south carolina,sc,479
